input,combined,chebyshev,cheon,
-0.974852,2.05176e-07,-0.999407,-1,
-0.97473,1.94094e-07,-0.999606,-1,
-0.974608,1.56178e-07,-0.999921,-1,
-0.974486,2.21628e-07,-1.00026,-1,
-0.974364,1.83886e-07,-1.00052,-1,
-0.974242,2.04759e-07,-1.00063,-1,
-0.97412,2.09109e-07,-1.00056,-1,
-0.973997,2.10327e-07,-1.00032,-1,
-0.973875,2.10122e-07,-0.999995,-1,
-0.973753,1.89917e-07,-0.999671,-1,
-0.973631,1.79681e-07,-0.999441,-1,
-0.973509,1.86044e-07,-0.99937,-1,
-0.973387,2.25569e-07,-0.999477,-1,
-0.973265,1.76949e-07,-0.999731,-1,
-0.973143,1.98895e-07,-1.00006,-1,
-0.973021,1.55109e-07,-1.00037,-1,
-0.972899,2.07374e-07,-1.00058,-1,
-0.972777,2.27762e-07,-1.00063,-1,
-0.972655,1.71658e-07,-1.0005,-1,
-0.972533,2.06125e-07,-1.00024,-1,
-0.97241,1.85224e-07,-0.999912,-1,
-0.972288,1.88053e-07,-0.999609,-1,
-0.972166,1.78544e-07,-0.999413,-1,
-0.972044,1.74578e-07,-0.999375,-1,
-0.971922,2.00355e-07,-0.999505,-1,
-0.9718,2.11822e-07,-0.999766,-1,
-0.971678,2.08574e-07,-1.00009,-1,
-0.971556,2.75965e-07,-1.00039,-1,
-0.971434,1.75695e-07,-1.00058,-1,
-0.971312,1.88174e-07,-1.00063,-1,
-0.97119,1.97061e-07,-1.0005,-1,
-0.971068,1.96021e-07,-1.00025,-1,
-0.970945,1.79911e-07,-0.999934,-1,
-0.970823,1.89449e-07,-0.999633,-1,
-0.970701,1.96557e-07,-0.999428,-1,
-0.970579,1.58909e-07,-0.99937,-1,
-0.970457,2.03133e-07,-0.999472,-1,
-0.970335,1.52848e-07,-0.999709,-1,
-0.970213,2.15759e-07,-1.00002,-1,
-0.970091,1.65005e-07,-1.00032,-1,
-0.969969,1.85745e-07,-1.00055,-1,
-0.969847,1.8036e-07,-1.00063,-1,
-0.969725,1.95126e-07,-1.00056,-1,
-0.969603,1.76211e-07,-1.00035,-1,
-0.969481,2.04493e-07,-1.00005,-1,
-0.969358,2.2782e-07,-0.999742,-1,
-0.969236,2.12841e-07,-0.999496,-1,
-0.969114,1.82597e-07,-0.999374,-1,
-0.968992,2.09037e-07,-0.999405,-1,
-0.96887,1.79905e-07,-0.99958,-1,
-0.968748,1.83194e-07,-0.999856,-1,
-0.968626,2.10114e-07,-1.00017,-1,
-0.968504,2.32976e-07,-1.00044,-1,
-0.968382,1.78141e-07,-1.0006,-1,
-0.96826,1.78864e-07,-1.00062,-1,
-0.968138,2.22118e-07,-1.0005,-1,
-0.968016,2.48125e-07,-1.00025,-1,
-0.967894,1.71113e-07,-0.999951,-1,
-0.967771,2.04911e-07,-0.99966,-1,
-0.967649,2.02658e-07,-0.999449,-1,
-0.967527,2.38754e-07,-0.999367,-1,
-0.967405,2.14537e-07,-0.999432,-1,
-0.967283,1.86661e-07,-0.999628,-1,
-0.967161,1.71199e-07,-0.99991,-1,
-0.967039,1.99053e-07,-1.00021,-1,
-0.966917,2.07523e-07,-1.00047,-1,
-0.966795,2.04134e-07,-1.00061,-1,
-0.966673,1.7721e-07,-1.00062,-1,
-0.966551,1.95978e-07,-1.00049,-1,
-0.966429,2.04042e-07,-1.00024,-1,
-0.966307,1.99379e-07,-0.999947,-1,
-0.966184,2.07692e-07,-0.999662,-1,
-0.966062,1.53903e-07,-0.999453,-1,
-0.96594,2.00968e-07,-0.999367,-1,
-0.965818,2.0252e-07,-0.99942,-1,
-0.965696,2.43404e-07,-0.999602,-1,
-0.965574,1.68995e-07,-0.999871,-1,
-0.965452,1.95115e-07,-1.00017,-1,
-0.96533,2.21526e-07,-1.00043,-1,
-0.965208,1.82379e-07,-1.00059,-1,
-0.965086,2.17432e-07,-1.00063,-1,
-0.964964,2.22134e-07,-1.00053,-1,
-0.964842,2.24339e-07,-1.00032,-1,
-0.96472,2.23768e-07,-1.00003,-1,
-0.964597,2.12589e-07,-0.999746,-1,
-0.964475,2.26942e-07,-0.999511,-1,
-0.964353,2.17755e-07,-0.999382,-1,
-0.964231,1.91214e-07,-0.999383,-1,
-0.964109,1.72063e-07,-0.999515,-1,
-0.963987,1.88845e-07,-0.99975,-0.999999,
-0.963865,2.00392e-07,-1.00004,-0.999999,
-0.963743,1.77655e-07,-1.00031,-0.999999,
-0.963621,1.5721e-07,-1.00053,-0.999999,
-0.963499,2.22172e-07,-1.00063,-0.999999,
-0.963377,2.24591e-07,-1.0006,-0.999999,
-0.963255,2.28943e-07,-1.00045,-0.999999,
-0.963133,1.79352e-07,-1.0002,-0.999999,
-0.96301,2.12213e-07,-0.999918,-0.999999,
-0.962888,1.8384e-07,-0.999648,-0.999999,
-0.962766,1.98945e-07,-0.999451,-0.999999,
-0.962644,1.96233e-07,-0.999366,-0.999999,
-0.962522,2.12001e-07,-0.999409,-0.999999,
-0.9624,2.26978e-07,-0.999572,-0.999999,
-0.962278,1.89069e-07,-0.999821,-0.999999,
-0.962156,1.84502e-07,-1.00011,-0.999999,
-0.962034,1.93741e-07,-1.00037,-0.999999,
-0.961912,1.85577e-07,-1.00056,-0.999999,
-0.96179,2.73208e-07,-1.00063,-0.999999,
-0.961668,1.91756e-07,-1.00059,-0.999999,
-0.961546,2.01969e-07,-1.00042,-0.999999,
-0.961423,1.71513e-07,-1.00017,-0.999999,
-0.961301,2.10294e-07,-0.999893,-0.999999,
-0.961179,1.83888e-07,-0.999633,-0.999999,
-0.961057,1.79894e-07,-0.999445,-0.999999,
-0.960935,1.93832e-07,-0.999365,-0.999999,
-0.960813,2.17464e-07,-0.999409,-0.999999,
-0.960691,2.14606e-07,-0.999567,-0.999999,
-0.960569,1.96206e-07,-0.999809,-0.999999,
-0.960447,2.07904e-07,-1.00009,-0.999999,
-0.960325,1.93908e-07,-1.00035,-0.999999,
-0.960203,1.55726e-07,-1.00054,-0.999999,
-0.960081,2.14455e-07,-1.00063,-0.999999,
-0.959958,2.04728e-07,-1.0006,-0.999999,
-0.959836,1.68464e-07,-1.00046,-0.999999,
-0.959714,2.11895e-07,-1.00023,-0.999999,
-0.959592,1.73223e-07,-0.999953,-0.999999,
-0.95947,1.73511e-07,-0.999689,-0.999999,
-0.959348,1.906e-07,-0.999483,-0.999999,
-0.959226,1.83753e-07,-0.999374,-0.999999,
-0.959104,1.89002e-07,-0.999382,-0.999999,
-0.958982,2.03751e-07,-0.999505,-0.999999,
-0.95886,2.36095e-07,-0.999719,-0.999999,
-0.958738,1.99309e-07,-0.999985,-0.999999,
-0.958616,2.1293e-07,-1.00025,-0.999999,
-0.958494,1.73414e-07,-1.00048,-0.999999,
-0.958371,1.82227e-07,-1.00061,-0.999999,
-0.958249,1.91764e-07,-1.00063,-0.999999,
-0.958127,2.06068e-07,-1.00054,-0.999999,
-0.958005,2.27246e-07,-1.00035,-0.999999,
-0.957883,1.84985e-07,-1.0001,-0.999999,
-0.957761,1.74524e-07,-0.999825,-0.999999,
-0.957639,2.08113e-07,-0.999586,-0.999999,
-0.957517,2.19073e-07,-0.999422,-0.999999,
-0.957395,2.13985e-07,-0.999362,-0.999999,
-0.957273,2.08566e-07,-0.999416,-0.999999,
-0.957151,2.3414e-07,-0.999574,-0.999999,
-0.957029,2.19016e-07,-0.999807,-0.999999,
-0.956907,2.1986e-07,-1.00007,-0.999999,
-0.956784,1.61175e-07,-1.00033,-0.999999,
-0.956662,1.89557e-07,-1.00052,-0.999999,
-0.95654,2.58091e-07,-1.00063,-0.999999,
-0.956418,2.13808e-07,-1.00062,-0.999999,
-0.956296,2.14557e-07,-1.0005,-0.999999,
-0.956174,1.75351e-07,-1.0003,-0.999999,
-0.956052,1.68565e-07,-1.00005,-0.999999,
-0.95593,2.19568e-07,-0.999783,-0.999999,
-0.955808,1.60847e-07,-0.999557,-0.999999,
-0.955686,2.02997e-07,-0.999408,-0.999999,
-0.955564,2.32281e-07,-0.999361,-0.999999,
-0.955442,2.0634e-07,-0.999424,-0.999999,
-0.95532,1.93258e-07,-0.999585,-0.999999,
-0.955197,2.13872e-07,-0.999817,-0.999999,
-0.955075,2.3896e-07,-1.00008,-0.999999,
-0.954953,2.21643e-07,-1.00033,-0.999999,
-0.954831,2.03919e-07,-1.00052,-0.999999,
-0.954709,1.84165e-07,-1.00063,-0.999999,
-0.954587,2.44745e-07,-1.00063,-0.999999,
-0.954465,1.95902e-07,-1.00052,-0.999999,
-0.954343,1.48622e-07,-1.00033,-0.999999,
-0.954221,2.34057e-07,-1.00008,-0.999998,
-0.954099,2.36232e-07,-0.999818,-0.999998,
-0.953977,1.71332e-07,-0.999589,-0.999998,
-0.953855,2.36802e-07,-0.999428,-0.999998,
-0.953733,1.92162e-07,-0.999361,-0.999998,
-0.95361,2.33173e-07,-0.999401,-0.999998,
-0.953488,2.15577e-07,-0.999539,-0.999998,
-0.953366,1.92587e-07,-0.999752,-0.999998,
-0.953244,2.00011e-07,-1.00001,-0.999998,
-0.953122,1.93863e-07,-1.00026,-0.999998,
-0.953,1.91169e-07,-1.00047,-0.999998,
-0.952878,2.01137e-07,-1.0006,-0.999998,
-0.952756,2.28361e-07,-1.00064,-0.999998,
-0.952634,1.98308e-07,-1.00057,-0.999998,
-0.952512,1.77979e-07,-1.00041,-0.999998,
-0.95239,1.91028e-07,-1.00019,-0.999998,
-0.952268,1.973e-07,-0.99993,-0.999998,
-0.952146,1.96854e-07,-0.999686,-0.999998,
-0.952023,1.61774e-07,-0.999492,-0.999998,
-0.951901,1.99354e-07,-0.99938,-0.999998,
-0.951779,2.04198e-07,-0.999366,-0.999998,
-0.951657,2.21099e-07,-0.999453,-0.999998,
-0.951535,1.81416e-07,-0.999627,-0.999998,
-0.951413,1.94927e-07,-0.999859,-0.999998,
-0.951291,2.21769e-07,-1.00011,-0.999998,
-0.951169,2.19858e-07,-1.00035,-0.999998,
-0.951047,1.79142e-07,-1.00053,-0.999998,
-0.950925,2.27375e-07,-1.00063,-0.999998,
-0.950803,2.00454e-07,-1.00063,-0.999998,
-0.950681,2.07037e-07,-1.00053,-0.999998,
-0.950559,2.07986e-07,-1.00035,-0.999998,
-0.950436,1.86461e-07,-1.00012,-0.999998,
-0.950314,2.34378e-07,-0.999864,-0.999998,
-0.950192,2.01607e-07,-0.999634,-0.999998,
-0.95007,1.5995e-07,-0.999459,-0.999998,
-0.949948,1.72228e-07,-0.999368,-0.999998,
-0.949826,2.11348e-07,-0.999374,-0.999998,
-0.949704,1.69585e-07,-0.999475,-0.999998,
-0.949582,2.15924e-07,-0.999656,-0.999998,
-0.94946,1.62463e-07,-0.999889,-0.999998,
-0.949338,2.15267e-07,-1.00014,-0.999998,
-0.949216,2.23557e-07,-1.00037,-0.999997,
-0.949094,1.93572e-07,-1.00054,-0.999997,
-0.948971,2.26974e-07,-1.00063,-0.999997,
-0.948849,1.95652e-07,-1.00063,-0.999997,
-0.948727,1.98838e-07,-1.00053,-0.999997,
-0.948605,1.53533e-07,-1.00035,-0.999997,
-0.948483,1.97527e-07,-1.00012,-0.999997,
-0.948361,2.08537e-07,-0.999875,-0.999997,
-0.948239,1.99228e-07,-0.999646,-0.999997,
-0.948117,2.0154e-07,-0.99947,-0.999997,
-0.947995,1.59495e-07,-0.999372,-0.999997,
-0.947873,1.91764e-07,-0.999367,-0.999997,
-0.947751,1.96813e-07,-0.999455,-0.999997,
-0.947629,1.7664e-07,-0.999623,-0.999997,
-0.947507,1.87443e-07,-0.999846,-0.999997,
